Gene name,Intron-containing gene?,Transcription frequency (mRNA/hour),"DNA:RNA hybrid density (mean, A.U.)"
YLR029C,no,70.93884324,845.023873
YLR110C,no,183.4806389,543.6364015
YJL159W,no,18.52119376,220.4852248
YDR077W,no,27.58540064,215.9131395
YKL096W-A,no,n.d.,213.6126898
YJL158C,no,58.77733835,194.6639842
YLR044C,no,103.2390641,176.1223652
YKL060C,no,167.8914677,169.7344731
YOR332W,no,11.07403461,169.2446376
YKL152C,no,63.95497819,165.4755528
YDL085C-A,no,n.d.,155.224339
YGR034W,yes,122.0557268,153.9581783
YGL008C,no,95.02144914,150.6779163
YFR033C,no,17.27264828,149.773751
YDL133C-A,no,n.d.,146.624711
YEL027W,no,63.85780343,146.2149582
YEL017C-A,no,n.d.,145.8964844
YDL184C,no,n.d.,144.4315957
YML043C,no,2.103162477,143.5039067
YNL145W,no,282.6623626,142.5952065
YNL079C,no,5.96410891,136.7429636
YKR042W,no,29.16718948,134.2293128
YLR249W,no,87.69501023,132.4333895
YBR230W-A,no,n.d.,130.2201901
YCR012W,no,110.4978259,126.2546899
YHR071W,no,1.187481377,126.2020388
YLR075W,no,120.6291094,122.800567
YDR382W,no,121.5014852,122.3750854
YKL056C,no,118.7066993,121.9624566
YJL115W,no,3.346921705,121.5345124
YOR063W,no,97.40062591,120.9541183
YPL131W,no,115.4142992,117.1339861
YLR150W,no,47.47338422,115.559084
YPL024W,no,3.331440696,115.0954752
YAL038W,no,101.2603124,113.766888
YML074C,no,12.91898189,113.3369947
YJR123W,no,142.8858174,109.6763445
YHL015W,no,104.1081253,109.4826589
YOL086C,no,125.6325423,107.4893464
YOL040C,no,97.17565076,107.3767794
YKL054C,no,17.21282742,105.7883111
YCL037C,no,1.712674353,103.6996526
YDR050C,no,130.3648267,101.8868529
YJR010C-A,no,n.d.,101.2409221
YBR078W,yes,23.45518668,100.9439045
YMR122W-A,no,n.d.,100.1150229
YDR224C,no,63.7069616,98.00921405
YGL123W,no,148.6348435,96.52054749
YDR461W,no,84.35321176,96.1839771
YFL039C,yes,45.45802193,96.06259411
YOR369C,no,94.46858194,93.94670593
YEL051W,no,6.589614448,92.10668556
YHR039C-A,yes,n.d.,92.0469451
YLR167W,no,126.5708406,90.61031686
YGL055W,no,33.55001244,90.23378928
YLR390W-A,no,n.d.,89.57622548
YDL081C,no,81.96251138,89.31232466
YLR061W,yes,102.149758,89.14388779
YGR279C,no,30.89940673,88.92919208
YOL013W-A,no,n.d.,86.84339135
YER030W,no,11.81744318,84.56588715
YLR175W,no,31.90400957,84.08914298
YLR340W,no,57.64246655,83.57366743
YOR167C,no,98.92513443,82.70417289
YDR002W,no,33.57466899,80.23919297
YLL013C,no,n.d.,78.48933994
YML058W,no,19.74830411,78.01339709
YNL178W,no,144.4303724,77.88179341
YIL123W,yes,15.88988057,77.34877332
YOR056C,no,6.436947028,77.17743223
YGR205W,no,0.316553919,76.17141559
YOL039W,no,152.1091594,75.41148734
YPL190C,no,1.214598422,73.46183803
YGL215W,no,1.236827106,72.36662299
YGR023W,no,n.d.,72.0309138
YKR045C,no,n.d.,71.57786862
YGL029W,no,13.81122282,71.53985865
YOL109W,no,98.86543237,71.52293031
YDL066W,no,4.593174606,70.85978452
YGR078C,no,3.462068251,70.76945351
YAL003W,yes,75.20655905,70.73236416
YHR174W,no,134.6608829,69.67832591
YKL201C,no,0.933477454,68.20882
YGL222C,no,n.d.,68.11303881
YDL205C,no,n.d.,67.87770402
YBL092W,yes,108.5497967,67.78631673
YGR060W,no,58.80199396,67.71733503
YPL013C,no,8.550360919,67.65181031
YML017W,yes,n.d.,67.12953806
YLR109W,no,42.80049919,66.67963778
YBR067C,no,3.452692218,66.59994017
YFR036W,no,2.541251346,66.56153237
YOR083W,no,n.d.,66.16755914
YLR325C,no,56.92819615,64.8932235
YGL103W,yes,138.4272805,64.33951126
YMR251W-A,no,n.d.,63.4104559
YAL035W,no,17.51577276,63.00073336
YJL052W,no,12.66493277,62.88430172
YGL097W,no,7.547483365,61.84137086
YML063W,no,37.19841544,60.14884155
YNL112W,yes,77.04451785,59.78551045
YGR192C,no,188.0517801,59.56897555
YHR092C,no,10.59047539,59.29074668
YKL164C,no,30.8082577,58.981345
YOR304C-A,no,n.d.,57.75505618
YGR159C,no,43.42132105,57.16299088
YER177W,no,35.2695587,57.1463941
YOR298C-A,no,n.d.,56.06275456
YGR247W,no,n.d.,55.85323325
YIL093C,no,1.152051405,55.62218233
YNR053C,yes,25.88239165,55.3003045
YNL113W,no,16.67512197,54.86829894
YLR134W,no,2.127921969,54.78933616
YKL172W,no,12.48969334,54.76448517
YLR197W,no,22.83986814,53.821048
YMR269W,no,6.357519418,52.86103564
YNR044W,no,8.252485204,52.11754425
YGR103W,no,14.42422558,51.43010032
YJR129C,no,0.391277806,51.12853423
YDR448W,no,1.655396444,50.41202301
YDR276C,no,59.61552328,49.0432843
YBR127C,no,9.772720374,48.76552035
YBL097W,no,n.d.,48.02687929
YGL030W,yes,89.87300676,47.89886202
YLR206W,no,1.164129007,47.65871044
YGR189C,no,16.39947713,47.05988292
YDR449C,no,5.536334101,46.72336969
YBL081W,no,4.808353394,46.69869137
YBL030C,no,30.68763638,46.67549405
YMR043W,no,4.160823254,46.04259267
YDL130W,yes,141.6130491,45.80326881
YGR086C,no,13.14886933,45.6161942
YJL148W,no,17.41529241,45.21731233
YGR280C,no,9.191934503,44.96858043
YMR011W,no,12.4219063,44.48554498
YLL010C,no,1.744024622,43.85839415
YML055W,no,5.081939609,43.3457069
YPL158C,no,1.86521305,43.01993219
YHR143W,no,28.99318304,42.66128147
